model_id,geography,parceltype,saletype,estimator,predictor_set,ycol,weights,disclosure,stack,xcolset_base,xcols_buildings,xcols_space,xcols_race,area,time,jsd
conus_mv-pasture,conus,mv-pasture,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_mv-wet,conus,mv-wet,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_v-barren,conus,v-barren,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_v-coast,conus,v-coast,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_v-crops,conus,v-crops,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_v-floodplain,conus,v-floodplain,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_v-forest,conus,v-forest,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_v-grassland,conus,v-grassland,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_v-pasture,conus,v-pasture,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
conus_v-wet,conus,v-wet,deed,ert,X,lnusd-j001,equal,all,FALSE,main,fpihs,latlong45,raceblind,Xha,Xyr,0.01
region-nb_stack-ert,region-nb,v,deed,ert,stack1,lnusd-j001,equal,all,TRUE,,,latlong45,raceblind,Xha,Xyr,0.01
region-nb_stack2-ert,region-nb,v,deed,ert,stack2,lnusd-j001,equal,all,TRUE,,,latlong45,raceblind,Xha,Xyr,0.01
region-nb_stack-lm,region-nb,v,deed,lm,stack1,lnusd-j001,equal,all,TRUE,,,latlong45,raceblind,Xha,Xyr,0.01
region-nb_stack2-lm,region-nb,v,deed,lm,stack2,lnusd-j001,equal,all,TRUE,,,latlong45,raceblind,Xha,Xyr,0.01
region-nb_stack-hgb,region-nb,v,deed,hgb,stack1,lnusd-j001,equal,all,TRUE,,,latlong45,raceblind,Xha,Xyr,0.01
region-nb_stack2-hgb,region-nb,v,deed,hgb,stack2,lnusd-j001,equal,all,TRUE,,,latlong45,raceblind,Xha,Xyr,0.01
